Date,Time,Animal,Count
2009-04-22,19:48,Muskox,7
2009-04-22,8:41,Elk,35
2009-04-22,12:20,Owl,21
2009-04-22,14:30,Wolverine,25
2009-04-22,6:03,Fox,19
2009-04-23,4:00,Elk,2
2009-04-23,3:10,Owl,23
2009-04-23,20:54,Owl,18
2009-04-23,9:38,Grizzly,37
2009-04-23,21:37,Moose,1
2009-04-23,16:16,Wolverine,4
2009-04-23,4:22,Muskox,42
2009-04-23,17:18,Moose,40
2009-04-23,7:35,Ptarmigan,30
2009-04-24,6:36,Fox,1
2009-04-24,12:56,Fox,7
2009-04-24,2:47,Moose,41
2009-04-25,16:43,Grizzly,24
2009-04-25,17:35,Elk,34
2009-04-26,14:23,Wolverine,4
2009-04-27,20:09,Muskox,37
2009-04-28,12:22,Muskox,16
2009-04-28,0:55,Wolverine,10
2009-04-28,23:54,Wolverine,35
2009-04-29,5:39,Elk,1
2009-04-29,6:00,Wolverine,29
2009-04-30,14:26,Ptarmigan,14
2009-05-01,18:07,Fox,27
2009-05-02,18:03,Wolf,19
2009-05-03,10:32,Ptarmigan,37
2009-05-03,8:53,Wolverine,12
2009-05-03,4:50,Wolverine,23
2009-05-04,16:21,Owl,21
2009-05-04,12:22,Fox,18
2009-05-04,21:24,Owl,35
2009-05-04,3:57,Wolverine,22
2009-05-05,19:07,Fox,33
2009-05-05,19:52,Moose,33
2009-05-06,5:49,Owl,38
2009-05-06,7:55,Muskox,20
2009-05-07,19:35,Wolf,36
2009-05-08,13:23,Grizzly,34
2009-05-09,12:12,Ptarmigan,38
2009-05-10,10:21,Ptarmigan,10
2009-05-11,20:56,Moose,42
2009-05-11,3:14,Grizzly,39
2009-05-11,2:15,Wolverine,5
2009-05-11,20:19,Wolverine,31
2009-05-11,18:36,Owl,6
2009-05-11,15:32,Elk,3
2009-05-11,7:00,Wolverine,39
2009-05-11,7:12,Owl,39
2009-05-11,3:39,Wolf,4
2009-05-11,16:44,Owl,28
2009-05-11,1:13,Grizzly,2
2009-05-11,5:11,Ptarmigan,20
2009-05-11,2:53,Wolf,31
2009-05-11,14:37,Grizzly,17
2009-05-12,17:22,Grizzly,31
2009-05-13,21:27,Moose,17
2009-05-13,14:56,Grizzly,35
2009-05-13,7:32,Wolverine,5
2009-05-14,10:49,Grizzly,9
2009-05-14,4:46,Muskox,7
2009-05-14,3:25,Fox,30
2009-05-15,11:36,Fox,25
2009-05-15,7:27,Wolverine,24
2009-05-15,16:56,Fox,15
2009-05-15,23:24,Fox,9
2009-05-15,4:34,Elk,3
